iter	Logloss
0	0.6084667987
1	0.5489031153
2	0.5037144675
3	0.4717020622
4	0.4388973872
5	0.4171622838
6	0.39773912
7	0.3831670655
8	0.3715216754
9	0.3625003608
10	0.3555458092
11	0.3482159432
12	0.3410344042
13	0.3351636641
14	0.3292910889
15	0.3237890366
16	0.3185691641
17	0.3150843924
18	0.3121706613
19	0.3098463657
20	0.3073858852
21	0.3040856802
22	0.3017458442
23	0.2992381341
24	0.2974876317
25	0.2961222351
26	0.2941398824
27	0.2925626496
28	0.29097371
29	0.2887732061
30	0.2876793495
31	0.2861460475
32	0.2852848332
33	0.2842082309
34	0.2830938477
35	0.2818186104
36	0.2803124636
37	0.279369628
38	0.2786951083
39	0.2775930088
40	0.2768807658
41	0.2755262531
42	0.2740999464
43	0.2733210752
44	0.2724089766
45	0.2712214017
46	0.2703196037
47	0.2697658942
48	0.2692165015
49	0.2686210989
50	0.2682177033
51	0.266417578
52	0.2652089116
53	0.2647964961
54	0.2638785403
55	0.2633076123
56	0.2627088042
57	0.262248675
58	0.2614829504
59	0.2606594152
60	0.2602967513
61	0.2597328588
62	0.2590561373
63	0.2582657302
64	0.2577784723
65	0.2572708213
66	0.2567964805
67	0.25615969
68	0.2557177098
69	0.2553181803
70	0.2547290769
71	0.2542023659
72	0.253747485
73	0.2532260446
74	0.2524671145
75	0.2521505511
76	0.251740339
77	0.2513787424
78	0.2505372806
79	0.250179574
80	0.2497977596
81	0.2493937523
82	0.2489995974
83	0.2484824614
84	0.2482579118
85	0.247760701
86	0.2471827238
87	0.2467876192
88	0.2462078034
89	0.2457366497
90	0.2453299569
91	0.2448795712
92	0.2443622563
93	0.2441897503
94	0.2436826163
95	0.243328641
96	0.2430211044
97	0.2424243425
98	0.2420633183
99	0.2415629194
100	0.241343461
101	0.2409891649
102	0.240667284
103	0.2403930124
104	0.2400978943
105	0.2397459285
106	0.2394245342
107	0.2391179919
108	0.2389655078
109	0.2385812296
110	0.238068295
111	0.237469997
112	0.237162159
113	0.2368541741
114	0.2365938666
115	0.2362674383
116	0.2360508367
117	0.2357206517
118	0.2353921643
119	0.235041181
120	0.2345661335
121	0.2343802267
122	0.2342047184
123	0.2337011192
124	0.2330105447
125	0.2330060555
126	0.2327180614
127	0.2324935542
128	0.2324876113
129	0.2321885755
130	0.2320457738
131	0.2316683227
132	0.2314137429
133	0.2311397366
134	0.2309303972
135	0.2306833112
136	0.2303771857
137	0.2300541451
138	0.2298174275
139	0.2295034574
140	0.229293728
141	0.2289356006
142	0.228576785
143	0.2280764851
144	0.2277481542
145	0.2275530414
146	0.2271575413
147	0.2268654801
148	0.2265893811
149	0.2264147541
150	0.2260986371
151	0.2256720782
152	0.2254362185
153	0.2251077468
154	0.2248024311
155	0.2244481832
156	0.2242678478
157	0.223802237
158	0.2236262552
159	0.2234417337
160	0.2233894
161	0.2230735139
162	0.2227692034
163	0.2225478101
164	0.2222471922
165	0.2220731849
166	0.222053743
167	0.2218857691
168	0.2216808803
169	0.22146732
170	0.2211192003
171	0.220821323
172	0.2205126258
173	0.2202106905
174	0.2199768734
175	0.2196346099
176	0.2190242408
177	0.2187059008
178	0.2185524041
179	0.2183627582
180	0.2178487653
181	0.2175780654
182	0.2172716235
183	0.2170808692
184	0.2168819432
185	0.2167617051
186	0.2166414994
187	0.2164432144
188	0.2162701929
189	0.2159985523
190	0.2157713922
191	0.215532021
192	0.2154274342
193	0.2152232934
194	0.2151796801
195	0.215031157
196	0.2148976847
197	0.2146145158
198	0.2144447169
199	0.2143357381
200	0.2142096313
201	0.2140913299
202	0.2139435631
203	0.2136786498
204	0.2136044858
205	0.2133762157
206	0.2132894874
207	0.2132184554
208	0.2129289896
209	0.2127267591
210	0.2124597044
211	0.2122982954
212	0.2120884757
213	0.2118719059
214	0.2116117725
215	0.2113341099
216	0.2110671718
217	0.2107478568
218	0.2106234888
219	0.2104228889
220	0.2101739467
221	0.2099742434
222	0.2098703837
223	0.2096712601
224	0.2095379582
225	0.2093269562
226	0.2090906164
227	0.208906038
228	0.2086951431
229	0.2084833389
230	0.2083075426
231	0.208142522
232	0.2079435998
233	0.2078622889
234	0.207585975
235	0.2072926044
236	0.2070272159
237	0.2068600296
238	0.206701451
239	0.2065575932
240	0.206438015
241	0.2062423978
242	0.2060817522
243	0.2058902071
244	0.2057357439
245	0.2054219495
246	0.2051477427
247	0.204903442
248	0.2046510717
249	0.2044649193
250	0.2042877396
251	0.2041290775
252	0.2038902041
253	0.2037894431
254	0.203661625
255	0.2034507465
256	0.2032855055
257	0.2031426202
258	0.2030216252
259	0.2028813761
260	0.2027739507
261	0.2025400082
262	0.2024226149
263	0.2022461142
264	0.2020651013
265	0.2018003275
266	0.2016633933
267	0.2015320441
268	0.201434628
269	0.2012553834
270	0.2010932866
271	0.2010013713
272	0.2007378162
273	0.2006644194
274	0.2005733115
275	0.2004333131
276	0.2002922533
277	0.200185697
278	0.1999072538
279	0.1997520603
280	0.1996548002
281	0.1995180223
282	0.1993468975
283	0.1992344036
284	0.1991299944
285	0.1990354398
286	0.1989666754
287	0.1988429764
288	0.1987244038
289	0.1985856232
290	0.1984584372
291	0.198305162
292	0.1982239313
293	0.1980645479
294	0.1979090741
295	0.1977499954
296	0.197616607
297	0.1974886869
298	0.1971814103
299	0.1970697922
300	0.1968319694
301	0.1967314168
302	0.1966115389
303	0.1965462917
304	0.1964119491
305	0.1962016094
306	0.195973925
307	0.1957880024
308	0.19550492
309	0.1954543728
310	0.1953072288
311	0.1951203662
312	0.1949173212
313	0.1947512891
314	0.1945205757
315	0.1943550139
316	0.194292484
317	0.1939948236
318	0.1938436262
319	0.1937326509
320	0.1934380524
321	0.193266085
322	0.19315227
323	0.1930521175
324	0.1929391205
325	0.1927262152
326	0.1926328196
327	0.1923846585
328	0.1922799186
329	0.1922011791
330	0.1920726892
331	0.19191151
332	0.191770556
333	0.1916325259
334	0.1914199522
335	0.1912818314
336	0.1910770692
337	0.1909529919
338	0.1907947545
339	0.1906777423
340	0.190526188
341	0.1903505346
342	0.1902226189
343	0.1900666179
344	0.1898157953
345	0.1896806242
346	0.1894418594
347	0.1893401682
348	0.1892256513
349	0.1890429805
350	0.1889333922
351	0.1888233326
352	0.188674701
353	0.1885506535
354	0.1883684807
355	0.1882351353
356	0.1880001654
357	0.1879134561
358	0.1877796496
359	0.187633896
360	0.1874644443
361	0.1872967447
362	0.1872084318
363	0.1870792517
364	0.1869499175
365	0.1868440489
366	0.1867316445
367	0.1866239434
368	0.1865263269
369	0.1864297881
370	0.1863137785
371	0.1862191529
372	0.1861210876
373	0.1858493966
374	0.1857627562
375	0.1856112657
376	0.1855032127
377	0.1854130473
378	0.1853702041
379	0.1852024934
380	0.1851461725
381	0.1849336952
382	0.1848167573
383	0.1847440353
384	0.1845797207
385	0.1844640224
386	0.1843932402
387	0.1842797672
388	0.1841384801
389	0.1840950053
390	0.1838965597
391	0.1837479647
392	0.1835155561
393	0.1833968352
394	0.1832133067
395	0.183106695
396	0.1829274179
397	0.1827362181
398	0.1826308316
399	0.1825716001
400	0.1824172537
401	0.1822988804
402	0.1821344679
403	0.18205345
404	0.1819508246
405	0.1818014645
406	0.1816523086
407	0.1816031946
408	0.1815045809
409	0.181353634
410	0.1811765418
411	0.1809873033
412	0.1808866745
413	0.1807906939
414	0.180662352
415	0.1805906008
416	0.1804979546
417	0.1803812105
418	0.1802612677
419	0.1801919728
420	0.1801237969
421	0.1799498881
422	0.179849042
423	0.1796843044
424	0.1795763653
425	0.1794278755
426	0.1793000046
427	0.179131415
428	0.1790127481
429	0.1789398625
430	0.1787578517
431	0.1786212138
432	0.1784866137
433	0.1783881545
434	0.1782028849
435	0.1780893293
436	0.1780253404
437	0.1779209963
438	0.1778444921
439	0.1777237899
440	0.1775810078
441	0.1774180361
442	0.177317654
443	0.1772061665
444	0.1770544472
445	0.1770064799
446	0.1768648697
447	0.1767691065
448	0.1766625177
449	0.1765648442
450	0.1763934864
451	0.1762377471
452	0.1761038328
453	0.1759703324
454	0.1759062007
455	0.1757048606
456	0.175524028
457	0.175390204
458	0.1753120102
459	0.1752171266
460	0.1751109475
461	0.1750489089
462	0.1749236012
463	0.1747046396
464	0.1746051746
465	0.1744898952
466	0.1744257311
467	0.1743164481
468	0.1740521356
469	0.1738923082
470	0.1737847857
471	0.1735967312
472	0.173514307
473	0.1734238409
474	0.1732779012
475	0.1731906795
476	0.1731031119
477	0.1729967566
478	0.1728435996
479	0.1728178004
480	0.1726879991
481	0.1726061083
482	0.1724939079
483	0.1724181997
