iter	Passed	Remaining
400	14631	3612
401	14650	3571
402	14668	3530
403	14687	3490
404	14707	3449
405	14725	3409
406	14745	3369
407	14763	3329
408	14782	3289
409	14802	3249
410	14824	3210
411	14846	3171
412	14865	3131
413	14883	3091
414	14903	3052
415	14923	3013
416	14939	2973
417	14960	2934
418	14988	2897
419	15013	2859
420	15032	2820
421	15054	2782
422	15071	2743
423	15088	2704
424	15107	2665
425	15123	2627
426	15141	2588
427	15160	2550
428	15179	2512
429	15199	2474
430	15217	2436
431	15238	2398
432	15258	2360
433	15276	2323
434	15297	2285
435	15317	2248
436	15336	2210
437	15355	2173
438	15374	2136
439	15391	2098
440	15408	2061
441	15428	2024
442	15447	1987
443	15464	1950
444	15481	1913
445	15499	1876
446	15519	1840
447	15537	1803
448	15554	1766
449	15572	1730
450	15592	1694
451	15612	1657
452	15629	1621
453	15647	1585
454	15665	1549
455	15685	1513
456	15701	1477
457	15719	1441
458	15734	1405
459	15748	1369
460	15763	1333
461	15777	1297
462	15793	1262
463	15810	1226
464	15826	1191
465	15840	1155
466	15855	1120
467	15869	1085
468	15883	1049
469	15905	1015
470	15919	980
471	15934	945
472	15947	910
473	15961	875
474	15977	840
475	15990	806
476	16004	771
477	16014	737
478	16029	702
479	16039	668
480	16051	634
481	16061	599
482	16073	565
483	16087	531
484	16099	497
485	16112	464
486	16125	430
487	16136	396
488	16148	363
489	16161	329
490	16174	296
491	16185	263
492	16193	229
493	16203	196
494	16212	163
495	16221	130
496	16230	97
497	16239	65
498	16248	32
499	16258	0
	138
496	17147	103
497	17161	68
498	17179	34
499	17196	0
